"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"1","Center08_Wash","","point","-252.8199193409174,844.4619950861986,8507.934149645376","nest_bird","9_12"
"2","Center08_Wash","","point","-349.1384129714739,809.404930395318,8507.93414964538","nest_bird","9_11"
"3","Center08_Wash","","point","-269.5867342507265,890.5284404470674,8373.244873999405","nest_bird","9_10"
"4","Center08_Wash","","point","-365.905227881282,855.4713757561863,8373.2448739994","nest_bird","9_9"
"5","Center08_Wash","","point","-286.3535491605351,936.5948858079357,8238.555598353423","nest_bird","9_8"
"6","Center08_Wash","","point","-382.6720427910897,901.5378211170535,8238.555598353414","nest_bird","9_7"
"7","Center08_Wash","","point","-286.3535491607974,936.5948858083852,7798.4844016466","nest_bird","9_6"
"8","Center08_Wash","","point","-382.6720427913533,901.5378211175046,7798.4844016466","nest_bird","9_5"
"9","Center08_Wash","","point","-269.5867342509914,890.5284404475179,7663.795126000614","nest_bird","9_4"
"10","Center08_Wash","","point","-365.9052278815475,855.4713757566369,7663.795126000619","nest_bird","9_3"
"11","Center08_Wash","","point","-252.8199193411864,844.4619950866509,7529.105850354636","nest_bird","9_2"
"12","Center08_Wash","","point","-349.1384129717421,809.4049303957695,7529.105850354635","nest_bird","9_1"
"13","Center08_Wash","","point","-736.4810016134818,484.3859071266562,8507.934149645376","nest_bird","8_12"
"14","Center08_Wash","","point","-787.7310016134828,395.618303238751,8507.93414964538","nest_bird","8_11"
"15","Center08_Wash","","point","-778.9360673042139,508.8973507316609,8373.244873999405","nest_bird","8_10"
"16","Center08_Wash","","point","-830.1860673042138,420.1297468437559,8373.2448739994","nest_bird","8_9"
"17","Center08_Wash","","point","-821.3911329949453,533.4087943366658,8238.555598353423","nest_bird","8_8"
"18","Center08_Wash","","point","-872.6411329949439,444.6411904487604,8238.555598353414","nest_bird","8_7"
"19","Center08_Wash","","point","-821.3911329954352,533.4087943368414,7798.4844016466","nest_bird","8_6"
"20","Center08_Wash","","point","-872.6411329954357,444.6411904489365,7798.4844016466","nest_bird","8_5"
"21","Center08_Wash","","point","-778.9360673047065,508.8973507318358,7663.795126000614","nest_bird","8_4"
"22","Center08_Wash","","point","-830.1860673047069,420.1297468439304,7663.795126000619","nest_bird","8_3"
"23","Center08_Wash","","point","-736.4810016139785,484.3859071268298,7529.105850354636","nest_bird","8_2"
"24","Center08_Wash","","point","-787.7310016139784,395.6183032389245,7529.105850354635","nest_bird","8_1"
"25","Center08_Wash","","point","-875.5344381564961,-102.339730127158,8507.934149645376","nest_bird","7_12"
"26","Center08_Wash","","point","-857.7354999456363,-203.2825248109102,8507.93414964538","nest_bird","7_11"
"27","Center08_Wash","","point","-923.8125575559601,-110.8524651551506,8373.244873999405","nest_bird","7_10"
"28","Center08_Wash","","point","-906.0136193450995,-211.7952598389019,8373.2448739994","nest_bird","7_9"
"29","Center08_Wash","","point","-972.0906769554235,-119.3652001831427,8238.555598353423","nest_bird","7_8"
"30","Center08_Wash","","point","-954.2917387445617,-220.3079948668934,8238.555598353414","nest_bird","7_7"
"31","Center08_Wash","","point","-972.0906769559117,-119.3652001833231,7798.4844016466","nest_bird","7_6"
"32","Center08_Wash","","point","-954.2917387450518,-220.3079948670746,7798.4844016466","nest_bird","7_5"
"33","Center08_Wash","","point","-923.8125575564499,-110.8524651553333,7663.795126000614","nest_bird","7_4"
"34","Center08_Wash","","point","-906.0136193455895,-211.7952598390852,7663.795126000619","nest_bird","7_3"
"35","Center08_Wash","","point","-875.5344381569882,-102.3397301273443,7529.105850354636","nest_bird","7_2"
"36","Center08_Wash","","point","-857.7354999461276,-203.2825248110959,7529.105850354635","nest_bird","7_1"
"37","Center08_Wash","","point","-604.9155806046792,-641.1794702750664,8507.934149645376","nest_bird","6_12"
"38","Center08_Wash","","point","-526.396025184984,-707.0652002679377,8507.93414964538","nest_bird","6_11"
"39","Center08_Wash","","point","-636.4268850943349,-678.7331806079471,8373.244873999405","nest_bird","6_10"
"40","Center08_Wash","","point","-557.9073296746396,-744.6189106008173,8373.2448739994","nest_bird","6_9"
"41","Center08_Wash","","point","-667.9381895839905,-716.2868909408271,8238.555598353423","nest_bird","6_8"
"42","Center08_Wash","","point","-589.4186341642946,-782.1726209336961,8238.555598353414","nest_bird","6_7"
"43","Center08_Wash","","point","-667.9381895842487,-716.2868909412791,7798.4844016466","nest_bird","6_6"
"44","Center08_Wash","","point","-589.4186341645535,-782.1726209341499,7798.4844016466","nest_bird","6_5"
"45","Center08_Wash","","point","-636.4268850945926,-678.7331806084019,7663.795126000614","nest_bird","6_4"
"46","Center08_Wash","","point","-557.9073296748971,-744.6189106012725,7663.795126000619","nest_bird","6_3"
"47","Center08_Wash","","point","-604.9155806049365,-641.1794702755254,7529.105850354636","nest_bird","6_2"
"48","Center08_Wash","","point","-526.3960251852409,-707.0652002683956,7529.105850354635","nest_bird","6_1"
"49","Center08_Wash","","point","-51.25000000011329,-880.0042103652115,8507.934149645376","nest_bird","5_12"
"50","Center08_Wash","","point","51.24999999988739,-880.0042103652122,8507.93414964538","nest_bird","5_11"
"51","Center08_Wash","","point","-51.25000000011102,-929.027097575225,8373.244873999405","nest_bird","5_10"
"52","Center08_Wash","","point","51.24999999988896,-929.0270975752248,8373.2448739994","nest_bird","5_9"
"53","Center08_Wash","","point","-51.25000000010908,-978.0499847852378,8238.555598353423","nest_bird","5_8"
"54","Center08_Wash","","point","51.24999999989046,-978.0499847852363,8238.555598353414","nest_bird","5_7"
"55","Center08_Wash","","point","-51.25000000001631,-978.04998478575,7798.4844016466","nest_bird","5_6"
"56","Center08_Wash","","point","51.24999999998386,-978.0499847857504,7798.4844016466","nest_bird","5_5"
"57","Center08_Wash","","point","-51.25000000001614,-929.0270975757389,7663.795126000614","nest_bird","5_4"
"58","Center08_Wash","","point","51.24999999998437,-929.027097575739,7663.795126000619","nest_bird","5_3"
"59","Center08_Wash","","point","-51.25000000001529,-880.0042103657285,7529.105850354636","nest_bird","5_2"
"60","Center08_Wash","","point","51.24999999998496,-880.0042103657281,7529.105850354635","nest_bird","5_1"
"61","Center08_Wash","","point","526.3960251848104,-707.0652002680823,8507.934149645376","nest_bird","4_12"
"62","Center08_Wash","","point","604.9155806045067,-641.1794702752122,8507.93414964538","nest_bird","4_11"
"63","Center08_Wash","","point","557.9073296744695,-744.6189106009601,8373.244873999405","nest_bird","4_10"
"64","Center08_Wash","","point","636.4268850941646,-678.7331806080897,8373.2448739994","nest_bird","4_9"
"65","Center08_Wash","","point","589.418634164128,-782.1726209338376,8238.555598353423","nest_bird","4_8"
"66","Center08_Wash","","point","667.938189583822,-716.2868909409666,8238.555598353414","nest_bird","4_7"
"67","Center08_Wash","","point","589.4186341645284,-782.1726209341703,7798.4844016466","nest_bird","4_6"
"68","Center08_Wash","","point","667.938189584224,-716.2868909413003,7798.4844016466","nest_bird","4_5"
"69","Center08_Wash","","point","557.9073296748726,-744.6189106012929,7663.795126000614","nest_bird","4_4"
"70","Center08_Wash","","point","636.4268850945683,-678.7331806084223,7663.795126000619","nest_bird","4_3"
"71","Center08_Wash","","point","526.3960251852177,-707.0652002684153,7529.105850354636","nest_bird","4_2"
"72","Center08_Wash","","point","604.915580604913,-641.1794702755446,7529.105850354635","nest_bird","4_1"
"73","Center08_Wash","","point","857.7354999455965,-203.2825248111323,8507.934149645376","nest_bird","3_12"
"74","Center08_Wash","","point","875.5344381564577,-102.3397301273804,8507.93414964538","nest_bird","3_11"
"75","Center08_Wash","","point","906.0136193450612,-211.7952598391204,8373.244873999405","nest_bird","3_10"
"76","Center08_Wash","","point","923.8125575559213,-110.852465155369,8373.2448739994","nest_bird","3_9"
"77","Center08_Wash","","point","954.2917387445252,-220.3079948671087,8238.555598353423","nest_bird","3_8"
"78","Center08_Wash","","point","972.0906769553841,-119.3652001833576,8238.555598353414","nest_bird","3_7"
"79","Center08_Wash","","point","954.2917387450457,-220.3079948671062,7798.4844016466","nest_bird","3_6"
"80","Center08_Wash","","point","972.0906769559066,-119.3652001833549,7798.4844016466","nest_bird","3_5"
"81","Center08_Wash","","point","906.0136193455838,-211.7952598391162,7663.795126000614","nest_bird","3_4"
"82","Center08_Wash","","point","923.8125575564444,-110.8524651553644,7663.795126000619","nest_bird","3_3"
"83","Center08_Wash","","point","857.7354999461226,-203.2825248111256,7529.105850354636","nest_bird","3_2"
"84","Center08_Wash","","point","875.5344381569828,-102.3397301273739,7529.105850354635","nest_bird","3_1"
"85","Center08_Wash","","point","787.731001613595,395.618303238555,8507.934149645376","nest_bird","2_12"
"86","Center08_Wash","","point","736.4810016135953,484.385907126461,8507.93414964538","nest_bird","2_11"
"87","Center08_Wash","","point","830.1860673043249,420.1297468435638,8373.244873999405","nest_bird","2_10"
"88","Center08_Wash","","point","778.9360673043248,508.8973507314686,8373.2448739994","nest_bird","2_9"
"89","Center08_Wash","","point","872.6411329950542,444.6411904485718,8238.555598353423","nest_bird","2_8"
"90","Center08_Wash","","point","821.3911329950533,533.4087943364757,8238.555598353414","nest_bird","2_7"
"91","Center08_Wash","","point","872.6411329954515,444.6411904489083,7798.4844016466","nest_bird","2_6"
"92","Center08_Wash","","point","821.3911329954518,533.4087943368136,7798.4844016466","nest_bird","2_5"
"93","Center08_Wash","","point","830.1860673047224,420.1297468439029,7663.795126000614","nest_bird","2_4"
"94","Center08_Wash","","point","778.9360673047224,508.8973507318084,7663.795126000619","nest_bird","2_3"
"95","Center08_Wash","","point","787.7310016139937,395.6183032388984,7529.105850354636","nest_bird","2_2"
"96","Center08_Wash","","point","736.4810016139934,484.3859071268034,7529.105850354635","nest_bird","2_1"
"97","Center08_Wash","","point","349.138412971686,809.4049303952401,8507.934149645376","nest_bird","1_12"
"98","Center08_Wash","","point","252.81991934113,844.4619950861221,8507.93414964538","nest_bird","1_11"
"99","Center08_Wash","","point","365.9052278814908,855.4713757561104,8373.244873999405","nest_bird","1_10"
"100","Center08_Wash","","point","269.5867342509351,890.5284404469913,8373.2448739994","nest_bird","1_9"
"101","Center08_Wash","","point","382.6720427912957,901.5378211169801,8238.555598353423","nest_bird","1_8"
"102","Center08_Wash","","point","286.35354916074,936.5948858078597,8238.555598353414","nest_bird","1_7"
"103","Center08_Wash","","point","382.6720427913836,901.5378211174931,7798.4844016466","nest_bird","1_6"
"104","Center08_Wash","","point","286.353549160828,936.5948858083747,7798.4844016466","nest_bird","1_5"
"105","Center08_Wash","","point","365.9052278815774,855.4713757566259,7663.795126000614","nest_bird","1_4"
"106","Center08_Wash","","point","269.5867342510214,890.5284404475073,7663.795126000619","nest_bird","1_3"
"107","Center08_Wash","","point","349.1384129717707,809.4049303957594,7529.105850354636","nest_bird","1_2"
"108","Center08_Wash","","point","252.8199193412148,844.4619950866403,7529.105850354635","nest_bird","1_1"
"109","Center07_Beam","","point","-127.5000000000005,220.8364779650307,1612","nest_bird","6_1"
