"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Texts"
"1","Center02_Strip","","point","-1127.245637877741,-650.8155724715414,5802.031","3_57"
"2","Center02_Strip","","point","-1127.245637877747,-650.8155724715301,5700.245288611424","3_56"
"3","Center02_Strip","","point","-1127.245637877754,-650.815572471519,5598.459577222842","3_55"
"4","Center02_Strip","","point","-1127.245637877761,-650.8155724715079,5496.673865834262","3_54"
"5","Center02_Strip","","point","-1127.245637877767,-650.8155724714968,5394.888154445681","3_53"
"6","Center02_Strip","","point","-1127.245637877774,-650.8155724714857,5293.1024430571","3_52"
"7","Center02_Strip","","point","-1127.24563787778,-650.8155724714745,5191.316731668517","3_51"
"8","Center02_Strip","","point","-1127.245637877787,-650.8155724714632,5089.531020279936","3_50"
"9","Center02_Strip","","point","-1127.245637877793,-650.815572471452,4987.745308891353","3_49"
"10","Center02_Strip","","point","-1127.245637877799,-650.8155724714409,4885.959597502771","3_48"
"11","Center02_Strip","","point","-1127.245637877806,-650.8155724714297,4784.173886114191","3_47"
"12","Center02_Strip","","point","-1127.245637877812,-650.8155724714185,4682.388174725607","3_46"
"13","Center02_Strip","","point","-1127.245637877819,-650.8155724714073,4580.602463337027","3_45"
"14","Center02_Strip","","point","-1127.245637877825,-650.8155724713961,4478.816751948444","3_44"
"15","Center02_Strip","","point","-1127.245637877832,-650.8155724713849,4377.031040559862","3_43"
"16","Center02_Strip","","point","-1127.245637877838,-650.8155724713733,4275.24532917128","3_42"
"17","Center02_Strip","","point","-1109.793511321262,-640.7395825062215,4176.149361517828","3_41"
"18","Center02_Strip","","point","-1112.177812713697,-642.1161595569732,4074.400873270833","3_40"
"19","Center02_Strip","","point","-1114.778092120439,-643.6174315724234,3972.65948255067","3_39"
"20","Center02_Strip","","point","-1117.594334892344,-645.2433900948863,3870.925757110166","3_38"
"21","Center02_Strip","","point","-1120.626524109165,-646.994025355452,3769.200308174939","3_37"
"22","Center02_Strip","","point","-1123.874641553243,-648.8693268361499,3667.483746920255","3_36"
"23","Center02_Strip","","point","-1127.338667709618,-650.8692832700131,3565.776684467344","3_35"
"24","Center02_Strip","","point","-1131.018581766159,-652.9938826411518,3464.079731879734","3_34"
"25","Center02_Strip","","point","-1134.914361614021,-655.2431121850183,3362.393500151201","3_33"
"26","Center02_Strip","","point","-1139.025983846395,-657.6169583876854,3260.718600237789","3_32"
"27","Center02_Strip","","point","-1143.353424352116,-660.1154073285657,3159.055629445501","3_31"
"28","Center02_Strip","","point","-1147.933391449217,-662.7596525649546,3057.407501134567","3_30"
"29","Center02_Strip","","point","-1153.123017161318,-665.7558843668292,2955.798641193288","3_29"
"30","Center02_Strip","","point","-1159.012217036167,-669.156015499885,2854.240612262799","3_28"
"31","Center02_Strip","","point","-1165.600617259572,-672.9598301423968,2752.739867059655","3_27"
"32","Center02_Strip","","point","-1172.887801218413,-677.1670877626677,2651.302824579881","3_26"
"33","Center02_Strip","","point","-1180.873308099588,-681.7775223101297,2549.935899719351","3_25"
"34","Center02_Strip","","point","-1189.556632921574,-686.7908422335644,2448.645502868458","3_24"
"35","Center02_Strip","","point","-1198.93722656879,-692.2067305009426,2347.438039506867","3_23"
"36","Center02_Strip","","point","-1209.014494820506,-698.0248440387672,2246.319919573169","3_22"
"37","Center02_Strip","","point","-1219.787801680917,-704.2448156546878,2145.297524085853","3_21"
"38","Center02_Strip","","point","-1231.256465658054,-710.8662518891329,2044.377243793408","3_20"
"39","Center02_Strip","","point","-1243.419761514981,-717.8887340263626,1943.565460566838","3_19"
"40","Center02_Strip","","point","-1256.276920092116,-725.3118179918854,1842.868549345833","3_18"
"41","Center02_Strip","","point","-1269.827128358275,-733.1350343819273,1742.292877735965","3_17"
"42","Center02_Strip","","point","-1284.069529464474,-741.3578884944985,1641.844805606391","3_16"
"43","Center02_Strip","","point","-1299.003222800518,-749.9798603620584,1541.530684688089","3_15"
"44","Center02_Strip","","point","-1314.627264054324,-759.0004047857726,1441.35685817268","3_14"
"45","Center02_Strip","","point","-1330.940665274015,-768.4189513713599,1341.32966031182","3_13"
"46","Center02_Strip","","point","-1347.94239493277,-778.2349045665309,1241.455416017219","3_12"
"47","Center02_Strip","","point","-1365.631377923696,-788.447643658033,1141.740440863032","3_11"
"48","Center02_Strip","","point","-1384.006515746857,-799.0565344266311,1042.190933712278","3_10"
"49","Center02_Strip","","point","-1403.066607083015,-810.0608832903405,942.8134028518471","3_9"
"50","Center02_Strip","","point","-1422.810465611272,-821.4600053264718,843.614027516164","3_8"
"51","Center02_Strip","","point","-1443.236842105167,-833.2531792937904,744.5990838128989","3_7"
"52","Center02_Strip","","point","-1464.344443742945,-845.4396587813089,645.7748377497485","3_6"
"53","Center02_Strip","","point","-1486.13193407585,-858.0186721899776,547.1475450839212","3_5"
"54","Center02_Strip","","point","-1508.597946965757,-870.9894307795827,448.7233909065997","3_4"
"55","Center02_Strip","","point","-1531.741044195794,-884.3511041952264,350.5086757077506","3_3"
"56","Center02_Strip","","point","-1555.559781929408,-898.1028588374849,252.5095267925066","3_2"
"57","Center02_Strip","","point","-1580.732051602276,-912.6360755092278,154.9657543694893","3_1"
"58","Center02_Strip","","point","1127.245637877737,-650.8155724715471,5802.031","2_57"
"59","Center02_Strip","","point","1127.245637877731,-650.8155724715582,5700.245288611424","2_56"
"60","Center02_Strip","","point","1127.245637877724,-650.8155724715692,5598.459577222842","2_55"
"61","Center02_Strip","","point","1127.245637877718,-650.8155724715807,5496.673865834262","2_54"
"62","Center02_Strip","","point","1127.245637877712,-650.8155724715921,5394.888154445681","2_53"
"63","Center02_Strip","","point","1127.245637877706,-650.8155724716032,5293.1024430571","2_52"
"64","Center02_Strip","","point","1127.245637877699,-650.8155724716144,5191.316731668517","2_51"
"65","Center02_Strip","","point","1127.245637877692,-650.8155724716256,5089.531020279935","2_50"
"66","Center02_Strip","","point","1127.245637877686,-650.8155724716369,4987.745308891353","2_49"
"67","Center02_Strip","","point","1127.24563787768,-650.815572471648,4885.959597502771","2_48"
"68","Center02_Strip","","point","1127.245637877673,-650.8155724716594,4784.173886114191","2_47"
"69","Center02_Strip","","point","1127.245637877667,-650.8155724716706,4682.388174725608","2_46"
"70","Center02_Strip","","point","1127.24563787766,-650.8155724716818,4580.602463337026","2_45"
"71","Center02_Strip","","point","1127.245637877654,-650.8155724716929,4478.816751948444","2_44"
"72","Center02_Strip","","point","1127.245637877648,-650.8155724717042,4377.031040559862","2_43"
"73","Center02_Strip","","point","1127.245637877641,-650.8155724717152,4275.245329171281","2_42"
"74","Center02_Strip","","point","1109.793511321254,-640.7395825062355,4176.14936151783","2_41"
"75","Center02_Strip","","point","1112.177812713689,-642.1161595569873,4074.400873270833","2_40"
"76","Center02_Strip","","point","1114.778092120431,-643.6174315724378,3972.65948255067","2_39"
"77","Center02_Strip","","point","1117.594334892336,-645.2433900949005,3870.925757110166","2_38"
"78","Center02_Strip","","point","1120.626524109157,-646.9940253554663,3769.200308174939","2_37"
"79","Center02_Strip","","point","1123.874641553235,-648.869326836164,3667.483746920255","2_36"
"80","Center02_Strip","","point","1127.33866770961,-650.8692832700272,3565.776684467344","2_35"
"81","Center02_Strip","","point","1131.018581766151,-652.9938826411657,3464.079731879733","2_34"
"82","Center02_Strip","","point","1134.914361614013,-655.2431121850321,3362.393500151201","2_33"
"83","Center02_Strip","","point","1139.025983846387,-657.6169583876992,3260.718600237789","2_32"
"84","Center02_Strip","","point","1143.353424352108,-660.1154073285794,3159.055629445501","2_31"
"85","Center02_Strip","","point","1147.933391449207,-662.759652564971,3057.407501134567","2_30"
"86","Center02_Strip","","point","1153.123017161308,-665.755884366846,2955.798641193288","2_29"
"87","Center02_Strip","","point","1159.012217036157,-669.156015499902,2854.2406122628","2_28"
"88","Center02_Strip","","point","1165.600617259562,-672.9598301424137,2752.739867059656","2_27"
"89","Center02_Strip","","point","1172.887801218403,-677.1670877626849,2651.302824579881","2_26"
"90","Center02_Strip","","point","1180.873308099578,-681.7775223101469,2549.935899719351","2_25"
