"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"1","17_Tube120","","point","40,-115,0","nest_bird","18_24"
"2","17_Tube120","","point","40,-118,0","nest_bird","18_23"
"3","17_Tube120","","point","40,-121,0","nest_bird","18_22"
"4","17_Tube120","","point","40,-124,0","nest_bird","18_21"
"5","17_Tube120","","point","40,-127,0","nest_bird","18_20"
"6","17_Tube120","","point","40,-130,0","nest_bird","18_19"
"7","17_Tube120","","point","40,-133,0","nest_bird","18_18"
"8","17_Tube120","","point","40,-136,0","nest_bird","18_17"
"9","17_Tube120","","point","40,-139,0","nest_bird","18_16"
"10","17_Tube120","","point","40,-142,0","nest_bird","18_15"
"11","17_Tube120","","point","40,-145,0","nest_bird","18_14"
"12","17_Tube120","","point","40,-148,0","nest_bird","18_13"
"13","17_Tube120","","point","40,-151,0","nest_bird","18_12"
"14","17_Tube120","","point","40,-154,0","nest_bird","18_11"
"15","17_Tube120","","point","40,-157,0","nest_bird","18_10"
"16","17_Tube120","","point","40,-160,0","nest_bird","18_9"
"17","17_Tube120","","point","40,-163,0","nest_bird","18_8"
"18","17_Tube120","","point","40,-166,0","nest_bird","18_7"
"19","17_Tube120","","point","40,-169,0","nest_bird","18_6"
"20","17_Tube120","","point","40,-172,0","nest_bird","18_5"
"21","17_Tube120","","point","40,-175,0","nest_bird","18_4"
"22","17_Tube120","","point","40,-178,0","nest_bird","18_3"
"23","17_Tube120","","point","40,-181,0","nest_bird","18_2"
"24","17_Tube120","","point","40,-184,0","nest_bird","18_1"
"25","17_Tube120","","point","72,-115,0","nest_bird","17_24"
"26","17_Tube120","","point","72,-118,0","nest_bird","17_23"
"27","17_Tube120","","point","72,-121,0","nest_bird","17_22"
"28","17_Tube120","","point","72,-124,0","nest_bird","17_21"
"29","17_Tube120","","point","72,-127,0","nest_bird","17_20"
"30","17_Tube120","","point","72,-130,0","nest_bird","17_19"
"31","17_Tube120","","point","72,-133,0","nest_bird","17_18"
"32","17_Tube120","","point","72,-136,0","nest_bird","17_17"
"33","17_Tube120","","point","72,-139,0","nest_bird","17_16"
"34","17_Tube120","","point","72,-142,0","nest_bird","17_15"
"35","17_Tube120","","point","72,-145,0","nest_bird","17_14"
"36","17_Tube120","","point","72,-148,0","nest_bird","17_13"
"37","17_Tube120","","point","72,-151,0","nest_bird","17_12"
"38","17_Tube120","","point","72,-154,0","nest_bird","17_11"
"39","17_Tube120","","point","72,-157,0","nest_bird","17_10"
"40","17_Tube120","","point","72,-160,0","nest_bird","17_9"
"41","17_Tube120","","point","72,-163,0","nest_bird","17_8"
"42","17_Tube120","","point","72,-166,0","nest_bird","17_7"
