Object Count,Layer Name,Object Name,Object Category,Object Type,Attribute Texts
1,Center04_Wash_flash,,point,"24,-636,0",2_1
2,Center03_Strip,,point,"4,-4,0",6_14
3,Center03_Strip,,point,"4,-7.000000000000006,0",6_13
4,Center03_Strip,,point,"4,-10,0",6_12
5,Center03_Strip,,point,"4,-13,0",6_11
6,Center03_Strip,,point,"4,-16,0",6_10
7,Center03_Strip,,point,"4,-18.99999999999999,0",6_9
8,Center03_Strip,,point,"4,-22,0",6_8
9,Center03_Strip,,point,"4,-25,0",6_7
10,Center03_Strip,,point,"4,-28,0",6_6
11,Center03_Strip,,point,"4,-30.99999999999999,0",6_5
12,Center03_Strip,,point,"4,-33.99999999999999,0",6_4
13,Center03_Strip,,point,"4,-36.99999999999999,0",6_3
14,Center03_Strip,,point,"4,-40,0",6_2
15,Center03_Strip,,point,"4,-43,0",6_1
16,Center03_Strip,,point,"7,-4,0",5_14
17,Center03_Strip,,point,"7,-7.000000000000006,0",5_13
18,Center03_Strip,,point,"7,-10,0",5_12
19,Center03_Strip,,point,"7,-13,0",5_11
20,Center03_Strip,,point,"7,-16,0",5_10
21,Center03_Strip,,point,"7,-18.99999999999999,0",5_9
22,Center03_Strip,,point,"7,-22,0",5_8
23,Center03_Strip,,point,"7,-25,0",5_7
24,Center03_Strip,,point,"7,-28,0",5_6
25,Center03_Strip,,point,"7,-30.99999999999999,0",5_5
26,Center03_Strip,,point,"7,-33.99999999999999,0",5_4
27,Center03_Strip,,point,"7,-36.99999999999999,0",5_3
28,Center03_Strip,,point,"7,-40,0",5_2
29,Center03_Strip,,point,"7,-43,0",5_1
30,Center03_Strip,,point,"13,-4,0",4_14
31,Center03_Strip,,point,"13,-7.000000000000006,0",4_13
32,Center03_Strip,,point,"13,-10,0",4_12
33,Center03_Strip,,point,"13,-13,0",4_11
34,Center03_Strip,,point,"13,-16,0",4_10
35,Center03_Strip,,point,"13,-18.99999999999999,0",4_9
36,Center03_Strip,,point,"13,-22,0",4_8
37,Center03_Strip,,point,"13,-25,0",4_7
38,Center03_Strip,,point,"13,-28,0",4_6
39,Center03_Strip,,point,"13,-30.99999999999999,0",4_5
40,Center03_Strip,,point,"13,-33.99999999999999,0",4_4
41,Center03_Strip,,point,"13,-36.99999999999999,0",4_3
42,Center03_Strip,,point,"13,-40,0",4_2
43,Center03_Strip,,point,"13,-43,0",4_1
44,Center03_Strip,,point,"16,-4,0",3_14
45,Center03_Strip,,point,"16,-7.000000000000006,0",3_13
46,Center03_Strip,,point,"16,-10,0",3_12
47,Center03_Strip,,point,"16,-13,0",3_11
48,Center03_Strip,,point,"16,-16,0",3_10
49,Center03_Strip,,point,"16,-18.99999999999999,0",3_9
50,Center03_Strip,,point,"16,-22,0",3_8
51,Center03_Strip,,point,"16,-25,0",3_7
52,Center03_Strip,,point,"16,-28,0",3_6
53,Center03_Strip,,point,"16,-30.99999999999999,0",3_5
54,Center03_Strip,,point,"16,-33.99999999999999,0",3_4
55,Center03_Strip,,point,"16,-36.99999999999999,0",3_3
56,Center03_Strip,,point,"16,-40,0",3_2
57,Center03_Strip,,point,"16,-43,0",3_1
58,Center03_Strip,,point,"22,-4,0",2_14
59,Center03_Strip,,point,"22,-7.000000000000006,0",2_13
60,Center03_Strip,,point,"22,-10,0",2_12
61,Center03_Strip,,point,"22,-13,0",2_11
62,Center03_Strip,,point,"22,-16,0",2_10
