"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Texts"
"1","Center08_Wash_flash","","point","438,-639,0","1_1"
"2","Center08_Wash_flash","","point","390,-639,0","2_1"
"3","Center08_Wash_flash","","point","342,-639,0","3_1"
"4","Center08_Wash_flash","","point","294,-639,0","4_1"
"5","Center08_Wash_flash","","point","246,-639,0","5_1"
"6","Center08_Wash_flash","","point","198,-639,0","6_1"
"7","Center08_Wash_flash","","point","150,-639,0","7_1"
"8","Center08_Wash_flash","","point","102,-639,0","8_1"
"9","Center08_Wash_flash","","point","54,-639,0","9_1"
"10","Center08_Wash_flash","","point","342,-630,0","3_2"
"11","Center08_Wash_flash","","point","390,-630,0","2_2"
"12","Center08_Wash_flash","","point","438,-630,0","1_2"
"13","Center08_Wash_flash","","point","198,-630,0","6_2"
"14","Center08_Wash_flash","","point","246,-630,0","5_2"
"15","Center08_Wash_flash","","point","294,-630,0","4_2"
"16","Center08_Wash_flash","","point","54,-630,0","9_2"
"17","Center08_Wash_flash","","point","102,-630,0","8_2"
"18","Center08_Wash_flash","","point","150,-630,0","7_2"
"19","14_BBTube120","","point","34,-249,0","108_24"
"20","14_BBTube120","","point","34,-252,0","108_23"
"21","14_BBTube120","","point","34,-255,0","108_22"
"22","14_BBTube120","","point","34,-258.0000000000001,0","108_21"
"23","14_BBTube120","","point","34,-261,0","108_20"
"24","14_BBTube120","","point","34,-264,0","108_19"
"25","14_BBTube120","","point","34,-267,0","108_18"
"26","14_BBTube120","","point","34,-270,0","108_17"
"27","14_BBTube120","","point","34,-273,0","108_16"
"28","14_BBTube120","","point","34,-276,0","108_15"
"29","14_BBTube120","","point","34,-279,0","108_14"
"30","14_BBTube120","","point","34,-282,0","108_13"
"31","14_BBTube120","","point","34,-285,0","108_12"
"32","14_BBTube120","","point","34,-288,0","108_11"
"33","14_BBTube120","","point","34,-291,0","108_10"
"34","14_BBTube120","","point","34,-294,0","108_9"
"35","14_BBTube120","","point","34,-297,0","108_8"
"36","14_BBTube120","","point","34,-300,0","108_7"
"37","14_BBTube120","","point","34,-303,0","108_6"
"38","14_BBTube120","","point","34,-306,0","108_5"
"39","14_BBTube120","","point","34,-309,0","108_4"
"40","14_BBTube120","","point","34,-312,0","108_3"
"41","14_BBTube120","","point","34,-315,0","108_2"
"42","14_BBTube120","","point","34,-318,0","108_1"
"43","14_BBTube120","","point","38,-249,0","107_24"
"44","14_BBTube120","","point","38,-252,0","107_23"
"45","14_BBTube120","","point","38,-255,0","107_22"
"46","14_BBTube120","","point","38,-258.0000000000001,0","107_21"
"47","14_BBTube120","","point","38,-261,0","107_20"
"48","14_BBTube120","","point","38,-264,0","107_19"
"49","14_BBTube120","","point","38,-267,0","107_18"
"50","14_BBTube120","","point","38,-270,0","107_17"
"51","14_BBTube120","","point","38,-273,0","107_16"
"52","14_BBTube120","","point","38,-276,0","107_15"
"53","14_BBTube120","","point","38,-279,0","107_14"
"54","14_BBTube120","","point","38,-282,0","107_13"
"55","14_BBTube120","","point","38,-285,0","107_12"
"56","14_BBTube120","","point","38,-288,0","107_11"
"57","14_BBTube120","","point","38,-291,0","107_10"
"58","14_BBTube120","","point","38,-294,0","107_9"
"59","14_BBTube120","","point","38,-297,0","107_8"
"60","14_BBTube120","","point","38,-300,0","107_7"
"61","14_BBTube120","","point","38,-303,0","107_6"
"62","14_BBTube120","","point","38,-306,0","107_5"
"63","14_BBTube120","","point","38,-309,0","107_4"
"64","14_BBTube120","","point","38,-312,0","107_3"
"65","14_BBTube120","","point","38,-315,0","107_2"
"66","14_BBTube120","","point","38,-318,0","107_1"
"67","14_BBTube120","","point","42,-249,0","106_24"
"68","14_BBTube120","","point","42,-252,0","106_23"
"69","14_BBTube120","","point","42,-255,0","106_22"
"70","14_BBTube120","","point","42,-258.0000000000001,0","106_21"
"71","14_BBTube120","","point","42,-261,0","106_20"
"72","14_BBTube120","","point","42,-264,0","106_19"
