"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"1","MotorDown","","point","220.9503498598244,3793.571001430804,7020.020000000004","nest_bird","1_1"
"2","MotorDown","","point","236.3586909612197,4058.122001325029,7919.749910714278","nest_bird","1_2"
"3","MotorDown","","point","236.1017856050798,4053.711106706529,7020.020000000004","nest_bird","1_3"
"4","MotorDown","","point","234.7597274461159,4030.668857996338,2319.884955357164","nest_bird","1_4"
"5","MotorDown","","point","659.8630751343496,3742.269461446373,7020.020000000004","nest_bird","2_1"
"6","MotorDown","","point","705.8797270578913,4003.242862900006,7919.749910714278","nest_bird","2_2"
"7","MotorDown","","point","705.1124851937029,3998.891618064404,7020.020000000004","nest_bird","2_3"
"8","MotorDown","","point","701.104459751135,3976.160976239412,2319.884955357164","nest_bird","2_4"
"9","MotorDown","","point","1089.852284302155,3640.360146798839,7020.020000000004","nest_bird","3_1"
"10","MotorDown","","point","1165.854950771402,3894.226732252883,7919.749910714278","nest_bird","3_2"
"11","MotorDown","","point","1164.587748029187,3889.993980322089,7020.020000000004","nest_bird","3_3"
"12","MotorDown","","point","1157.967956971423,3867.882338318929,2319.884955357164","nest_bird","3_4"
"13","MotorDown","","point","1505.103110948806,3489.221206145021,7020.020000000004","nest_bird","4_1"
"14","MotorDown","","point","1610.063986281111,3732.547865535249,7919.749910714278","nest_bird","4_2"
"15","MotorDown","","point","1608.313959404092,3728.490847217908,7020.020000000004","nest_bird","4_3"
"16","MotorDown","","point","1599.171924049043,3707.297227062509,2319.884955357164","nest_bird","4_4"
"17","MotorDown","","point","1900.000000000008,3290.896534380846,7020.020000000004","nest_bird","5_1"
"18","MotorDown","","point","2032.499668415192,3520.392692061966,7919.749910714278","nest_bird","5_2"
"19","MotorDown","","point","2030.290483514738,3516.566271571072,7020.020000000004","nest_bird","5_3"
"20","MotorDown","","point","2018.749834207567,3496.57728061872,2319.884955357164","nest_bird","5_4"
"21","MotorDown","","point","2269.202648470593,3048.068132469145,7020.020000000004","nest_bird","6_1"
"22","MotorDown","","point","2427.449279254387,3260.630246605481,7919.749910714278","nest_bird","6_2"
"23","MotorDown","","point","2424.810811766455,3257.086169714011,7020.020000000004","nest_bird","6_3"
"24","MotorDown","","point","2411.027615991244,3238.572124776545,2319.884955357164","nest_bird","6_4"
"25","MotorDown","","point","2607.71822390119,2764.019837977563,7020.020000000004","nest_bird","7_1"
"26","MotorDown","","point","2789.571802841788,2956.773370622303,7919.749910714278","nest_bird","7_2"
"27","MotorDown","","point","2786.539733512906,2953.559564890406,7020.020000000004","nest_bird","7_3"
"28","MotorDown","","point","2770.700385347662,2936.77083666506,2319.884955357164","nest_bird","7_4"
"29","MotorDown","","point","2910.968883852117,2442.592916808827,7020.020000000004","nest_bird","8_1"
"30","MotorDown","","point","3113.970153261232,2612.93120709853,7919.749910714278","nest_bird","8_2"
"31","MotorDown","","point","3110.585485627604,2610.091133735499,7020.020000000004","nest_bird","8_3"
"32","MotorDown","","point","3092.904185084118,2595.254760970728,2319.884955357164","nest_bird","8_4"
"33","MotorDown","","point","3174.853683369156,2088.134116669041,7020.020000000004","nest_bird","9_1"
"34","MotorDown","","point","3396.257399323436,2233.753631440131,7919.749910714278","nest_bird","9_2"
"35","MotorDown","","point","3392.565905208466,2231.325697566101,7020.020000000004","nest_bird","9_3"
"36","MotorDown","","point","3373.281761544602,2218.642316751989,2319.884955357164","nest_bird","9_4"
"37","MotorDown","","point","3395.804033228961,1705.436884761735,7020.020000000004","nest_bird","10_1"
"38","MotorDown","","point","3632.616090284632,1824.368369884863,7919.749910714278","nest_bird","10_2"
"39","MotorDown","","point","3628.667690813525,1822.385409140399,7020.020000000004","nest_bird","10_3"
"40","MotorDown","","point","3608.041488990699,1812.026541244322,2319.884955357164","nest_bird","10_4"
"41","MotorDown","","point","3570.831958986444,1299.67654463752,7020.020000000004","nest_bird","11_1"
"42","MotorDown","","point","3819.849880319096,1390.311655801444,7919.749910714278","nest_bird","11_2"
"43","MotorDown","","point","3815.697970821283,1388.800484328876,7020.020000000004","nest_bird","11_3"
"44","MotorDown","","point","3794.008644835232,1380.906215268659,2319.884955357164","nest_bird","11_4"
"45","MotorDown","","point","3697.570508203321,876.340308821253,7020.020000000004","nest_bird","12_1"
"46","MotorDown","","point","3955.42675361316,937.4533616305516,7919.749910714278","nest_bird","12_2"
"47","MotorDown","","point","3951.127481542067,936.4344154316577,7020.020000000004","nest_bird","12_3"
"48","MotorDown","","point","3928.668342319062,931.1115016538469,2319.884955357164","nest_bird","12_4"
"49","MotorDown","","point","3774.305759419371,441.1530736758564,7020.020000000004","nest_bird","13_1"
"50","MotorDown","","point","4037.513265535463,471.9176189297423,7919.749910714278","nest_bird","13_2"
"51","MotorDown","","point","4033.124771170519,471.4046775038757,7020.020000000004","nest_bird","13_3"
"52","MotorDown","","point","4010.19954004026,468.7251022859439,2319.884955357164","nest_bird","13_4"
"53","MotorDown","","point","3799.999999999985,-1.685407369222958e-11,7020.020000000004","nest_bird","14_1"
"54","MotorDown","","point","4064.999336830347,-2.120259523508139e-11,7919.749910714278","nest_bird","14_2"
"55","MotorDown","","point","4060.580967029445,-1.799094206944574e-11,7020.020000000004","nest_bird","14_3"
"56","MotorDown","","point","4037.499668415105,-1.651301317906473e-11,2319.884955357164","nest_bird","14_4"
"57","MotorDown","","point","3774.305759419367,-441.15307367589,7020.020000000004","nest_bird","15_1"
"58","MotorDown","","point","4037.513265535458,-471.9176189297844,7919.749910714278","nest_bird","15_2"
"59","MotorDown","","point","4033.124771170515,-471.4046775039116,7020.020000000004","nest_bird","15_3"
"60","MotorDown","","point","4010.199540040256,-468.7251022859767,2319.884955357164","nest_bird","15_4"
"61","MotorDown","","point","3697.570508203312,-876.3403088212858,7020.020000000004","nest_bird","16_1"
"62","MotorDown","","point","3955.42675361315,-937.453361630593,7919.749910714278","nest_bird","16_2"
"63","MotorDown","","point","3951.127481542058,-936.4344154316927,7020.020000000004","nest_bird","16_3"
"64","MotorDown","","point","3928.668342319053,-931.111501653879,2319.884955357164","nest_bird","16_4"
"65","MotorDown","","point","3570.831958986433,-1299.676544637551,7020.020000000003","nest_bird","17_1"
"66","MotorDown","","point","3819.849880319081,-1390.311655801483,7919.749910714277","nest_bird","17_2"
"67","MotorDown","","point","3815.697970821271,-1388.80048432891,7020.020000000003","nest_bird","17_3"
"68","MotorDown","","point","3794.00864483522,-1380.906215268689,2319.884955357163","nest_bird","17_4"
"69","MotorDown","","point","3395.804033228946,-1705.436884761765,7020.020000000004","nest_bird","18_1"
"70","MotorDown","","point","3632.616090284613,-1824.368369884901,7919.749910714278","nest_bird","18_2"
"71","MotorDown","","point","3628.667690813509,-1822.385409140431,7020.020000000004","nest_bird","18_3"
"72","MotorDown","","point","3608.041488990684,-1812.026541244352,2319.884955357164","nest_bird","18_4"
"73","MotorDown","","point","3174.853683369137,-2088.134116669069,7020.020000000004","nest_bird","19_1"
"74","MotorDown","","point","3396.257399323413,-2233.753631440165,7919.749910714278","nest_bird","19_2"
"75","MotorDown","","point","3392.565905208446,-2231.32569756613,7020.020000000004","nest_bird","19_3"
"76","MotorDown","","point","3373.281761544583,-2218.642316752016,2319.884955357164","nest_bird","19_4"
"77","MotorDown","","point","2910.968883852095,-2442.592916808852,7020.020000000004","nest_bird","20_1"
"78","MotorDown","","point","3113.970153261205,-2612.931207098562,7919.749910714278","nest_bird","20_2"
"79","MotorDown","","point","3110.585485627581,-2610.091133735526,7020.020000000004","nest_bird","20_3"
"80","MotorDown","","point","3092.904185084097,-2595.254760970752,2319.884955357164","nest_bird","20_4"
"81","MotorDown","","point","2607.718223901166,-2764.019837977586,7020.020000000004","nest_bird","21_1"
"82","MotorDown","","point","2789.571802841758,-2956.773370622332,7919.749910714278","nest_bird","21_2"
"83","MotorDown","","point","2786.53973351288,-2953.559564890431,7020.020000000004","nest_bird","21_3"
"84","MotorDown","","point","2770.700385347639,-2936.770836665082,2319.884955357164","nest_bird","21_4"
"85","MotorDown","","point","2269.202648470566,-3048.068132469165,7020.020000000004","nest_bird","22_1"
"86","MotorDown","","point","2427.449279254353,-3260.630246605506,7919.749910714278","nest_bird","22_2"
"87","MotorDown","","point","2424.810811766427,-3257.086169714032,7020.020000000004","nest_bird","22_3"
"88","MotorDown","","point","2411.027615991217,-3238.572124776564,2319.884955357164","nest_bird","22_4"
"89","MotorDown","","point","1899.999999999979,-3290.896534380862,7020.020000000004","nest_bird","23_1"
"90","MotorDown","","point","2032.499668415156,-3520.392692061987,7919.749910714278","nest_bird","23_2"
"91","MotorDown","","point","2030.290483514707,-3516.56627157109,7020.020000000004","nest_bird","23_3"
"92","MotorDown","","point","2018.749834207539,-3496.577280618736,2319.884955357164","nest_bird","23_4"
"93","MotorDown","","point","1505.103110948775,-3489.221206145034,7020.020000000004","nest_bird","24_1"
"94","MotorDown","","point","1610.063986281072,-3732.547865535265,7919.749910714278","nest_bird","24_2"
"95","MotorDown","","point","1608.31395940406,-3728.490847217922,7020.020000000004","nest_bird","24_3"
"96","MotorDown","","point","1599.171924049013,-3707.297227062521,2319.884955357164","nest_bird","24_4"
"97","MotorDown","","point","1089.852284302123,-3640.360146798848,7020.020000000004","nest_bird","25_1"
"98","MotorDown","","point","1165.854950771361,-3894.226732252896,7919.749910714278","nest_bird","25_2"
"99","MotorDown","","point","1164.587748029153,-3889.9939803221,7020.020000000004","nest_bird","25_3"
