"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Texts"
"1","MotorUp","","point","108.9999999999999,-7,0","54"
"2","MotorUp","","point","96.00000000000011,-8.999999999999943,0","53"
"3","MotorUp","","point","84,-12,0","52"
"4","MotorUp","","point","72.00000000000011,-16,0","51"
"5","MotorUp","","point","61,-21,0","50"
"6","MotorUp","","point","51,-28.00000000000011,0","49"
"7","MotorUp","","point","41,-35.99999999999994,0","48"
"8","MotorUp","","point","32,-46.00000000000011,0","47"
"9","MotorUp","","point","24.99999999999994,-55.99999999999994,0","46"
"10","MotorUp","","point","18.99999999999977,-67.00000000000011,0","45"
"11","MotorUp","","point","14.00000000000006,-77.99999999999994,0","44"
"12","MotorUp","","point","10.00000000000006,-90,0","43"
"13","MotorUp","","point","7.999999999999943,-103,0","42"
"14","MotorUp","","point","7,-115,0","41"
"15","MotorUp","","point","7.999999999999943,-127,0","40"
"16","MotorUp","","point","10,-140,0","39"
"17","MotorUp","","point","14,-152,0","38"
"18","MotorUp","","point","18.99999999999977,-163,0","37"
"19","MotorUp","","point","25.00000000000006,-174.0000000000002,0","36"
"20","MotorUp","","point","31.99999999999994,-183.9999999999998,0","35"
"21","MotorUp","","point","41,-194,0","34"
"22","MotorUp","","point","51,-201.9999999999998,0","33"
"23","MotorUp","","point","61,-209,0","32"
"24","MotorUp","","point","72.00000000000011,-214,0","31"
"25","MotorUp","","point","84,-218,0","30"
"26","MotorUp","","point","96.00000000000011,-221,0","29"
"27","MotorUp","","point","108.9999999999999,-223,0","28"
"28","MotorUp","","point","121.0000000000001,-223,0","27"
"29","MotorUp","","point","133.9999999999999,-221,0","26"
"30","MotorUp","","point","146,-218,0","25"
"31","MotorUp","","point","157.9999999999999,-214,0","24"
"32","MotorUp","","point","169,-209,0","23"
"33","MotorUp","","point","179,-201.9999999999998,0","22"
"34","MotorUp","","point","189,-194,0","21"
"35","MotorUp","","point","198,-183.9999999999998,0","20"
"36","MotorUp","","point","205,-174.0000000000002,0","19"
"37","MotorUp","","point","211.0000000000002,-163,0","18"
"38","MotorUp","","point","216,-152,0","17"
"39","MotorUp","","point","220,-140,0","16"
"40","MotorUp","","point","222,-127,0","15"
"41","MotorUp","","point","223,-115,0","14"
"42","MotorUp","","point","222,-103,0","13"
"43","MotorUp","","point","220,-90,0","12"
"44","MotorUp","","point","216,-77.99999999999994,0","11"
"45","MotorUp","","point","211.0000000000002,-67.00000000000011,0","10"
"46","MotorUp","","point","205,-55.99999999999994,0","9"
"47","MotorUp","","point","198,-46.00000000000011,0","8"
"48","MotorUp","","point","189,-36.00000000000006,0","7"
"49","MotorUp","","point","179,-28.00000000000011,0","6"
"50","MotorUp","","point","169,-21,0","5"
"51","MotorUp","","point","157.9999999999999,-16,0","4"
"52","MotorUp","","point","146,-12,0","3"
"53","MotorUp","","point","133.9999999999999,-8.999999999999943,0","2"
"54","MotorUp","","point","121.0000000000001,-6.999999999999943,0","1"
"55","MotorDown","","point","110,-30,0","54"
"56","MotorDown","","point","100,-31.00000000000017,0","53"
"57","MotorDown","","point","91,-34,0","52"
"58","MotorDown","","point","81,-37.00000000000023,0","51"
"59","MotorDown","","point","73,-41.00000000000011,0","50"
"60","MotorDown","","point","64,-47.00000000000011,0","49"
